Fecha,Hora,Consumo (Wh),Precio (€/kWh),Coste por hora (€)
2018-12-05,18,65,0.153216248,0.00995905612
2018-12-05,19,31,0.149710039,0.004641011209
2018-12-05,20,82,0.149683215,0.01227402363
2018-12-05,21,64,0.150446082,0.009628549248
2018-12-05,22,29,0.082750623,0.002399768067
2018-12-05,23,84,0.080381646,0.006752058264
,,,,
2018-12-06,0,65,0.074852184,0.00486539196
2018-12-06,1,19,0.070817493,0.001345532367
2018-12-06,2,86,0.06670913,0.00573698518
2018-12-06,3,65,0.066676548,0.00433397562
2018-12-06,4,15,0.0670084,0.001005126
2018-12-06,5,90,0.06779047,0.0061011423
2018-12-06,6,60,0.072718097,0.00436308582
2018-12-06,7,14,0.083711998,0.001171967972
2018-12-06,8,93,0.083773293,0.007790916249
2018-12-06,9,7,0.084147524,5.89E-04
2018-12-06,10,0,0.084946621,0
2018-12-06,11,0,0.084935908,0
2018-12-06,12,0,0.152349983,0
2018-12-06,13,4,0.15241024,6.10E-04
2018-12-06,14,0,0.151519457,0
2018-12-06,15,0,0.148034576,0
2018-12-06,16,0,0.149901693,0
2018-12-06,17,47,0.155656662,0.007315863114
2018-12-06,18,20,0.155690662,0.00311381324
2018-12-06,19,4,0.153460544,6.14E-04
2018-12-06,20,5,0.152389121,7.62E-04
2018-12-06,21,4,0.151660224,6.07E-04
2018-12-06,22,5,0.083123967,4.16E-04
2018-12-06,23,4,0.081609833,3.26E-04
,,,,
2018-12-07,0,5,0.084400335,4.22E-04
2018-12-07,1,4,0.082457702,3.30E-04
2018-12-07,2,5,0.075684375,3.78E-04
2018-12-07,3,4,0.073041039,2.92E-04
2018-12-07,4,5,0.070493071,3.52E-04
2018-12-07,5,4,0.07195103,2.88E-04
2018-12-07,6,4,0.079165725,3.17E-04
2018-12-07,7,5,0.082835142,4.14E-04
2018-12-07,8,5,0.080837598,4.04E-04
2018-12-07,9,4,0.079746057,3.19E-04
2018-12-07,10,4,0.07905997,3.16E-04
2018-12-07,11,0,0.078763701,0
2018-12-07,12,0,0.144434595,0
2018-12-07,13,0,0.145786632,0
2018-12-07,14,0,0.145375589,0
2018-12-07,15,0,0.143629277,0
2018-12-07,16,0,0.143139488,0
2018-12-07,17,0,0.146609734,0
2018-12-07,18,0,0.14737155,0
2018-12-07,19,0,0.14787794,0
2018-12-07,20,0,0.148907866,0
2018-12-07,21,0,0.149311148,0
2018-12-07,22,0,0.082016673,0
2018-12-07,23,0,0.080290299,0
,,,,
2018-12-08,0,0,0.072634266,0
2018-12-08,1,0,0.069782845,0
2018-12-08,2,0,0.067726867,0
2018-12-08,3,0,0.067687138,0
2018-12-08,4,0,0.067238946,0
2018-12-08,5,0,0.067473043,0
2018-12-08,6,0,0.067105144,0
2018-12-08,7,0,0.068841366,0
2018-12-08,8,0,0.078105856,0
2018-12-08,9,0,0.08208898,0
2018-12-08,10,0,0.08168041,0
2018-12-08,11,8,0.081749092,6.54E-04
2018-12-08,12,50,0.150279672,0.0075139836
2018-12-08,13,153,0.151677317,0.0232066295
2018-12-08,14,82,0.152085181,0.01247098484
2018-12-08,15,4,0.152408076,6.10E-04
2018-12-08,16,95,0.152459121,0.0144836165
2018-12-08,17,109,0.153343071,0.01671439474
2018-12-08,18,38,0.153763674,0.005843019612
2018-12-08,19,8,0.154146812,0.001233174496
2018-12-08,20,0,0.155398002,0
2018-12-08,21,0,0.155713774,0
2018-12-08,22,0,0.086197448,0
2018-12-08,23,0,0.083696612,0
,,,,
2018-12-09,0,0,0.085974148,0
2018-12-09,1,0,0.080625748,0
2018-12-09,2,0,0.074717316,0
2018-12-09,3,0,0.071971719,0
2018-12-09,4,0,0.070926738,0
2018-12-09,5,0,0.070657814,0
2018-12-09,6,0,0.070932436,0
2018-12-09,7,0,0.070762178,0
2018-12-09,8,0,0.070892042,0
2018-12-09,9,35,0.075521241,0.002643243435
2018-12-09,10,32,0.0814373,0.0026059936
2018-12-09,11,33,0.081727716,0.002697014628
2018-12-09,12,18,0.149383475,0.00268890255
2018-12-09,13,50,0.151779332,0.0075889666
2018-12-09,14,11,0.151862218,0.001670484398
2018-12-09,15,4,0.147813612,5.91E-04
2018-12-09,16,4,0.147080849,5.88E-04
2018-12-09,17,5,0.152639091,7.63E-04
2018-12-09,18,66,0.153678651,0.01014279097
2018-12-09,19,21,0.152363912,0.003199642152
2018-12-09,20,0,0.153761857,0
2018-12-09,21,0,0.153806817,0
2018-12-09,22,0,0.084795759,0
2018-12-09,23,0,0.082856255,0
,,,,
2018-12-10,0,0,0.081988544,0
2018-12-10,1,0,0.074464438,0
2018-12-10,2,0,0.070435404,0
2018-12-10,3,0,0.069744939,0
2018-12-10,4,0,0.068320612,0
2018-12-10,5,0,0.068485976,0
2018-12-10,6,0,0.072579008,0
2018-12-10,7,0,0.081809994,0
2018-12-10,8,0,0.082331496,0
2018-12-10,9,0,0.081427649,0
2018-12-10,10,0,0.079984886,0
2018-12-10,11,0,0.079163076,0
2018-12-10,12,0,0.146546236,0
2018-12-10,13,0,0.147454833,0
2018-12-10,14,0,0.146813701,0
2018-12-10,15,0,0.147053612,0
2018-12-10,16,0,0.147916342,0
2018-12-10,17,3,0.151815229,4.55E-04
2018-12-10,18,7,0.154039059,0.001078273413
2018-12-10,19,0,0.152142119,0
2018-12-10,20,0,0.151906891,0
2018-12-10,21,7,0.152502499,0.001067517493
2018-12-10,22,0,0.083904673,0
2018-12-10,23,0,0.081227448,0
,,,,
2018-12-11,0,0,0.083859707,0
2018-12-11,1,0,0.079994466,0
2018-12-11,2,0,0.077669776,0
2018-12-11,3,0,0.075044069,0
2018-12-11,4,0,0.074995648,0
2018-12-11,5,0,0.074470791,0
2018-12-11,6,0,0.079063866,0
2018-12-11,7,0,0.08649825,0
2018-12-11,8,0,0.087153054,0
2018-12-11,9,0,0.086635173,0
2018-12-11,10,0,0.084878365,0
2018-12-11,11,0,0.082849279,0
2018-12-11,12,0,0.147466563,0
2018-12-11,13,0,0.148442474,0
