Fecha,Hora,Consumo (Wh),Precio (€/kWh),Coste por hora (€)
2019-02-05,18,42,0.150157293,0.006306606306
2019-02-05,19,54,0.151188306,0.008164168524
2019-02-05,20,1100,0.153007038,0.1683077418
2019-02-05,21,1332,0.153398761,0.2043271497
2019-02-05,22,974,0.081401414,0.07928497724
2019-02-05,23,698,0.08026439,0.05602454422
,,,,
2019-02-06,0,58,0.082506859,0.004785397822
2019-02-06,1,56,0.079786878,0.004468065168
2019-02-06,2,40,0.07328054,0.0029312216
2019-02-06,3,39,0.07247278,0.00282643842
2019-02-06,4,39,0.07095385,0.00276720015
2019-02-06,5,39,0.073952655,0.002884153545
2019-02-06,6,43,0.077583054,0.003336071322
2019-02-06,7,241,0.080551211,0.01941284185
2019-02-06,8,210,0.081675684,0.01715189364
2019-02-06,9,351,0.082506262,0.02895969796
2019-02-06,10,47,0.08205523,0.00385659581
2019-02-06,11,44,0.07956028,0.00350065232
2019-02-06,12,41,0.145915401,0.005982531441
2019-02-06,13,42,0.144980765,0.00608919213
2019-02-06,14,41,0.140072868,0.005742987588
2019-02-06,15,497,0.137937749,0.06855506125
2019-02-06,16,726,0.139431535,0.1012272944
2019-02-06,17,645,0.143602997,0.09262393307
2019-02-06,18,314,0.146751058,0.04607983221
2019-02-06,19,167,0.151047509,0.025224934
2019-02-06,20,374,0.152118165,0.05689219371
2019-02-06,21,1922,0.151730952,0.2916268897
2019-02-06,22,895,0.080262234,0.07183469943
2019-02-06,23,414,0.078275767,0.03240616754
,,,,
2019-02-07,0,52,0.070114493,0.003645953636
2019-02-07,1,39,0.065538267,0.002555992413
2019-02-07,2,42,0.062642325,0.00263097765
2019-02-07,3,49,0.062365504,0.003055909696
2019-02-07,4,46,0.060739089,0.002793998094
2019-02-07,5,35,0.062375498,0.00218314243
2019-02-07,6,47,0.067489716,0.003172016652
2019-02-07,7,318,0.078521416,0.02496981029
2019-02-07,8,33,0.077825913,0.002568255129
2019-02-07,9,58,0.078818017,0.004571444986
2019-02-07,10,47,0.079000305,0.003713014335
2019-02-07,11,38,0.077337556,0.002938827128
2019-02-07,12,40,0.144232479,0.00576929916
2019-02-07,13,48,0.144218351,0.006922480848
2019-02-07,14,647,0.137615545,0.08903725762
2019-02-07,15,149,0.135043465,0.02012147629
2019-02-07,16,513,0.136514787,0.07003208573
2019-02-07,17,564,0.143527792,0.08094967469
2019-02-07,18,103,0.147625262,0.01520540199
2019-02-07,19,75,0.152341262,0.01142559465
2019-02-07,20,84,0.153737603,0.01291395865
2019-02-07,21,515,0.154343859,0.07948708739
2019-02-07,22,826,0.083555995,0.06901725187
2019-02-07,23,435,0.082905277,0.0360637955
,,,,
2019-02-08,0,52,0.083587603,0.004346555356
2019-02-08,1,51,0.079634762,0.004061372862
2019-02-08,2,47,0.069983955,0.003289245885
2019-02-08,3,45,0.068477978,0.00308150901
2019-02-08,4,45,0.06637114,0.0029867013
2019-02-08,5,316,0.066072217,0.02087882057
2019-02-08,6,140,0.069992106,0.00979889484
2019-02-08,7,308,0.078139494,0.02406696415
2019-02-08,8,150,0.07941112,0.011911668
2019-02-08,9,160,0.079982481,0.01279719696
2019-02-08,10,44,0.078681361,0.003461979884
2019-02-08,11,43,0.076481404,0.003288700372
2019-02-08,12,37,0.140404233,0.005194956621
2019-02-08,13,36,0.13361927,0.00481029372
